번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
4360,512000001019950002,1,영업/정상,BBBB,,,경상북도 문경시 문경읍 하리,,,문경가축병원,2018-08-31 23:59:59.0,,
4498,447000001020020001,1,영업/정상,0000,정상,,충청북도 음성군 금왕읍 무극리 551-25  번지,,,현대동물병원,2018-08-31 23:59:59.0,,
4815,506000001020040001,1,영업/정상,0000,정상,,경상북도 김천시 부곡동 395-3   번지,,,금오산낙협동물병원,2018-08-31 23:59:59.0,,
5559,469000001020090001,1,영업/정상,0000,정상,,전라북도 정읍시 농소동 446-1   번지 롯데마트 2층,,,쿨펫동물병원,2018-08-31 23:59:59.0,,
5585,475000001020090002,1,영업/정상,0000,정상,,전라북도 장수군 계남면 호덕리 593-4  번지,,,제일동물병원,2018-08-31 23:59:59.0,,
5618,471000001019710001,1,영업/정상,0000,정상,,전라북도 김제시 금산면 쌍용리 468번지,,,원평동물병원,2018-08-31 23:59:59.0,,
5631,471000001020080002,1,영업/정상,0000,정상,,전라북도 김제시 검산동 488-10 번지,,,성진동물병원,2018-08-31 23:59:59.0,,
5999,524000001019640001,1,영업/정상,0000,정상,,경상북도 봉화군 봉화읍 내성리 353번지,,,봉화가축병원,2019-05-09 02:40:00.0,,
6330,519000001019810001,1,영업/정상,0000,정상,,경상북도 청도군 금천면 동곡리 993번지,,,우신동물병원,2018-08-31 23:59:59.0,,
6480,483000001020010003,1,영업/정상,0000,정상,,전라남도 나주시 공산면 상방리 3구 220-6번지,,,정동물병원,2019-05-11 02:40:00.0,,
6737,367000001020100001,1,영업/정상,0000,정상,,대전광역시 유성구 추목동 사서함 78-503호,,,국군의학연구소 동물병원,2021-06-24 02:40:00.0,,
6852,331000001020080001,1,영업/정상,0000,정상,,부산광역시 남구 감만동 46-1   번지 자유4차아파트 상가동  109호,,,우암동물병원,2018-08-31 23:59:59.0,,
6853,331000001020080002,1,영업/정상,0000,정상,,부산광역시 남구 대연동 1744-4   번지,,,조양래동물병원,2018-08-31 23:59:59.0,,
7228,567000001020091001,1,영업/정상,0000,정상,,경상남도 창원시 마산회원구 합성동 121-11,,,호박동물병원,2021-07-02 00:23:01.0,,
7651,534000001019760001,1,영업/정상,0000,정상,,경상남도 사천시 곤양면 성내리 188-2   번지,,,곤양가축병원,2018-08-31 23:59:59.0,,
7657,534000001020040001,1,영업/정상,0000,정상,,경상남도 사천시 사천읍 수석리 259-3  번지,,,사천축협동물병원,2018-08-31 23:59:59.0,,
7710,535000001020140001,1,영업/정상,0000,정상,,경상남도 김해시 부원동 1통2반 부원역세권지구 A-1 롯데마트 김해부원점 3층,,,위즈펫 동물병원,2018-08-31 23:59:59.0,,
9072,310000001020080004,1,영업/정상,0000,정상,,서울특별시 노원구 월계동 331-1   번지 신세계이마트 2층,,,로얄벳 동물병원,2018-08-31 23:59:59.0,,
