번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
4473,565000001020150001,1,영업/정상,0000,정상,,충청남도 천안시 동남구 삼룡동 140-3,충청남도 천안시 동남구 무남길 16 (삼룡동),31070.0,서일가축병원,2021-01-21 02:40:00.0,,
4476,449000001019790001,1,영업/정상,0000,정상,,충청남도 천안시 동남구 삼룡동 146-28,충청남도 천안시 동남구 충절로 437 (삼룡동),31070.0,서일동물병원,2021-09-18 02:40:00.0,,
4695,460000001020190001,1,영업/정상,0000,정상,,충청남도 홍성군 홍북읍 신경리 553 성원타워,"충청남도 홍성군 홍북읍 청사로174번길 25, 성원타워",32256.0,내포동물의료센터,2021-10-15 02:40:00.0,,
4705,323000001020190001,1,영업/정상,0000,정상,,"서울특별시 송파구 문정동 652-4번지 힐스테이트에코문정상가 1층 120,121호","서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 상가동 1층 120,121호 (문정동)",5855.0,문정힐스 동물병원,2019-03-08 02:40:00.0,,
4725,347000001020190002,1,영업/정상,0000,정상,,대구광역시 달서구 대곡동 1071-2번지,대구광역시 달서구 갈밭로4길 20 (대곡동),42829.0,수목원동물병원,2019-03-22 05:20:02.0,,
4726,464000001020190002,1,영업/정상,0000,정상,,전라북도 전주시 덕진구 송천동2가 1311번지 에코시티 데시앙 4블럭,"전라북도 전주시 덕진구 세병로 41, B104호 (송천동2가, 에코시티 데시앙 4블럭)",55148.0,에코동물병원,2019-03-22 05:20:02.0,,
4875,460000001020170002,1,영업/정상,0000,정상,,충청남도 홍성군 홍북읍 신경리 587,충청남도 홍성군 홍북읍 청사로 146,32256.0,닥터차 동물병원,2021-04-23 02:40:00.0,,
4993,460000001020030002,1,영업/정상,0000,정상,,충청남도 홍성군 홍북읍 신경리 942 SFC타워,"충청남도 홍성군 홍북읍 충남대로 140, SFC타워 4층 404호",32260.0,피그월드 동물병원,2020-10-01 02:40:00.0,,
5118,391000001020130002,1,영업/정상,0000,정상,,경기도 평택시 세교동 0,"경기도 평택시 세교7길 50, JY빌딩 (세교동)",17842.0,블리스 동물의료센터,2021-09-08 02:40:00.0,,
5240,399000001020190001,1,영업/정상,0000,정상,,경기도 남양주시 다산동 6089-3번지,"경기도 남양주시 다산중앙로 109, 205호 (다산동)",12248.0,자연앤동물병원,2020-02-07 02:40:00.0,,
5243,399000001020190002,1,영업/정상,0000,정상,,"경기도 남양주시 다산동 6053번지 다산진건지구 상업2-7-1,2","경기도 남양주시 다산순환로 350, KB 골든타워 1층 110호 (다산동)",12285.0,다산마리동물병원,2019-05-26 02:20:55.0,,
