번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
5569,477000001019760001,1,영업/정상,0000,정상,,전라북도 순창군 순창읍 남계리 210-3번지 27통1반,,,박동물병원,2019-03-08 02:40:00.0,35.41670882670339,127.09164676924189
6213,651000001020030001,1,영업/정상,0000,정상,,제주특별자치도 제주시 이도이동 1060-14번지,,,영인동물병원,2018-08-31 23:59:59.0,34.89084893997011,124.81198276225845
6475,483000001019980001,1,영업/정상,0000,정상,,전라남도 나주시 과원동 121-1번지,,,이영기수의과병원,2019-05-11 02:40:00.0,35.06480113312594,126.67373796422274
7586,453000001020210003,1,영업/정상,0000,정상,,충청남도 서산시 읍내동 169-6,,,건국 대동물병원,2021-12-25 02:40:00.0,34.84375452348996,128.7974055414216
7640,547000001020080001,1,영업/정상,0000,정상,,경상남도 거창군 거창읍 대동리 905-1번지,,,수 가축병원,2018-08-31 23:59:59.0,36.04633397166184,127.47913412582724
7653,534000001019970002,1,영업/정상,0000,정상,,경상남도 사천시 동금동 141-3번지,,,노산동물병원,2019-03-09 02:40:00.0,36.18440662371704,126.5531902463894
8477,548000001019980001,1,영업/정상,0000,정상,,경상남도 합천군 가야면 황산리 18-8번지,,,가야농업협동조합동물병원,2018-08-31 23:59:59.0,36.2253105371107,127.57224744787437
8620,394000001020060008,1,영업/정상,0000,정상,,경기도 고양시 일산서구 탄현동 1573-5번지 현해프라자 203호,,,해맑은 동물병원,2018-08-31 23:59:59.0,35.07565036254649,129.9081145915877
8638,394000001020110005,1,영업/정상,0000,정상,,경기도 고양시 일산동구 식사동 344번지 자이주상복합아파트 상가 B동 211-1호,,,위시티 동물병원,2018-08-31 23:59:59.0,35.11620204768685,129.8968776454645
9251,446000001019870001,1,영업/정상,0000,정상,,충청북도 괴산군 괴산읍 동부리 672-4번지,,,김종하 동물병원,2019-04-17 02:40:00.0,35.92157555031059,128.85651159604214
9252,446000001019870002,1,영업/정상,0000,정상,,충청북도 괴산군 불정면 목도리 296-7번지,,,목도 동물병원,2019-04-17 02:40:00.0,35.96933778601483,128.9363218868451
