번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,PHONE_NUMBER,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
1,300000001020010002,1,영업/정상,0,정상,,서울특별시 종로구 창신동 80-1 ,02-744-9098,서울특별시 종로구 지봉로 53-1 (창신동),,해동물병원,2020-11-17,127.01551103760288,37.57490213000532
3,300000001020060001,1,영업/정상,0,정상,,서울특별시 종로구 홍지동 126-8번지 ,3917502,서울특별시 종로구 자하문로 305 (홍지동),,올리브동물병원,2018-08-31,126.95898224906556,37.599280674027014
4,300000001020080001,1,영업/정상,0,정상,,서울특별시 종로구 숭인동 52-8번지 ,3676-1190,서울특별시 종로구 지봉로 96-3 (숭인동),,우리동물병원,2018-08-31,127.01564428385373,37.578706410794794
5,300000001020090001,1,영업/정상,0,정상,,서울특별시 종로구 내자동 125-3번지 ,02-735-7530,서울특별시 종로구 사직로12길 2 (내자동),,누리봄동물병원,2018-08-31,126.97106456862981,37.575792977107234
6,300000001020160001,1,영업/정상,0,정상,,서울특별시 종로구 통인동 147-7 씨에스코즈빌 ,722-8275,"서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)",3040.0,광화문동물병원,2020-08-02,126.97116343328463,37.579042555681774
7,300000001020170001,1,영업/정상,0,정상,,서울특별시 종로구 홍파동 42-13 경희궁자이 2단지 상가동 2229호,,"서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)",3165.0,경희궁 바른 동물병원,2021-04-10,126.96355917764018,37.571316627899954
8,300000001019950002,1,영업/정상,0,정상,,서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,3672-8441,서울특별시 종로구 창경궁로 261 (명륜2가),3075.0,대학로동물병원,2019-05-01,127.00018968649835,37.58464795762958
9,300000001019990001,1,영업/정상,0,정상,,서울특별시 종로구 신영동 1-11 ,379-7575,서울특별시 종로구 진흥로 477-1 (신영동),3007.0,월드펫동물병원,2021-05-06,126.96081567387606,37.606057892251634
10,300000001020200001,1,영업/정상,0,정상,,서울특별시 종로구 신교동 70-10번지 ,02-733-6030,"서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)",3032.0,선동물병원,2020-05-19,126.96998032810143,37.58445029776568
23,300000001020020001,1,영업/정상,0,정상,,서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,391-4575,서울특별시 종로구 자하문로 293 (홍지동),3021.0,북악동물병원,2019-05-01,126.96024989369317,37.59888724923421
