번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
8,345000001019930001,3,폐업,0002,폐업,,대구광역시 북구 대현동 270-13  번지,,,세진동물병원,2018-08-31 23:59:59.0,,
10,345000001020020001,3,폐업,0002,폐업,,대구광역시 북구 읍내동 443-3번지,,,강북동물병원약품,2018-08-31 23:59:59.0,,
13,345000001019810003,3,폐업,0002,폐업,,대구광역시 북구 노원동3가 772-2   번지,,,천일동물병원,2018-08-31 23:59:59.0,,
33,461000001019890001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 주교리 225-9번지,,,한일 동물병원,2018-08-31 23:59:59.0,,
34,461000001019940001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 예산리 581-2번지,,,협동 동물병원,2018-08-31 23:59:59.0,,
35,461000001020010001,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13번지,,,예당 동물병원,2018-08-31 23:59:59.0,,
36,461000001020030001,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13번지,,,예당동물병원,2018-08-31 23:59:59.0,,
37,461000001020080001,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2018-08-31 23:59:59.0,,
38,461000001020080002,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2018-08-31 23:59:59.0,,
39,461000001020080003,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2018-08-31 23:59:59.0,,
40,461000001020090001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 주교리 225-9   번지,,,한일동물병원,2018-08-31 23:59:59.0,,
42,449000001019990001,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 1951번지,,,맑은,2018-08-31 23:59:59.0,,
44,449000001020000003,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-742 번지,,,용,2018-08-31 23:59:59.0,,
45,449000001020010001,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 198-1번지,,,늘푸른동물병원(신방점),2018-08-31 23:59:59.0,,
47,449000001020020003,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 2030번지,,,가람,2018-08-31 23:59:59.0,,
50,449000001020020007,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-118 번지,,,성환,2018-08-31 23:59:59.0,,
52,449000001020030002,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 695번지,,,쌍용동물병원,2018-08-31 23:59:59.0,,
54,449000001020040002,3,폐업,0002,폐업,,충청남도 천안시 서북구 부대동 139-11 번지,,,대원동물병원,2018-08-31 23:59:59.0,,
56,449000001020040005,3,폐업,0002,폐업,,충청남도 천안시 서북구 부대동 139-11 번지,,,대원동물병원,2018-08-31 23:59:59.0,,
68,449000001019800001,3,폐업,0002,폐업,,충청남도 천안시 동남구 영성동 118번지,,,천안,2018-08-31 23:59:59.0,,
80,440000001020100001,3,폐업,0002,폐업,,충청북도 제천시 하소동 72-5   번지 (롯데마트 2층),,,쿨펫동물병원,2018-08-31 23:59:59.0,,
85,447000001020090001,3,폐업,0002,폐업,,충청북도 음성군 금왕읍 백야리 산 13번지,,,음성군 야생동물구조관리사업소,2018-08-31 23:59:59.0,,
89,447000001020110002,3,폐업,0002,폐업,,충청북도 음성군 금왕읍 백야리 산 13번지,,,충북야생동물센터,2018-08-31 23:59:59.0,,
90,440000001019800001,3,폐업,0002,폐업,,충청북도 제천시 화산동 193-14  번지,,,협신동물병원,2018-08-31 23:59:59.0,,
93,440000001019960001,3,폐업,0002,폐업,,충청북도 제천시 청전동 13-8 번지,,,나라동물병원,2018-08-31 23:59:59.0,,
94,440000001019970001,3,폐업,0002,폐업,,충청북도 제천시 중앙로2가 81-9   번지,,,화랑동물병원,2018-08-31 23:59:59.0,,
96,307000001020010001,3,폐업,0002,폐업,,서울특별시 성북구 정릉동 1393-0   번지,,,북악동물병원,2018-08-31 23:59:59.0,,
97,307000001020010003,3,폐업,0002,폐업,,서울특별시 성북구 종암동 68-1   번지,,,청솔동물병원,2018-08-31 23:59:59.0,,
103,311000001020000003,3,폐업,0002,폐업,,서울특별시 은평구 증산동 168-2   번지,,,신동물병원,2018-08-31 23:59:59.0,,
106,321000001019950002,3,폐업,0002,폐업,,서울특별시 서초구 반포동 747-12  번지,,,닥터은동물병원,2018-08-31 23:59:59.0,,
110,314000001019940003,3,폐업,0002,폐업,,서울특별시 양천구 신월동 64-1   번지,,,강성동물병원,2018-08-31 23:59:59.0,,
112,314000001019950002,3,폐업,0002,폐업,,서울특별시 양천구 신정동 995-4   번지,,,상아동물병원,2018-08-31 23:59:59.0,,
113,321000001020100002,3,폐업,0002,폐업,,서울특별시 서초구 양재동 351-11 성원빌딩 1층,,,펫프렌즈동물병원양재,2018-08-31 23:59:59.0,,
116,314000001020080003,3,폐업,0002,폐업,,서울특별시 양천구 신월동 512-7   번지,,,킴스동물병원,2018-08-31 23:59:59.0,,
122,303000001020030016,3,폐업,0002,폐업,,서울특별시 성동구 응봉동 228-17  번지,,,내친구동물병원,2018-08-31 23:59:59.0,,
123,303000001020030017,3,폐업,0002,폐업,,서울특별시 성동구 성수동2가 333-16  번지 이마트 성수점 3층,,,아이러브 팻 동물병원,2018-08-31 23:59:59.0,,
128,303000001020070001,3,폐업,0002,폐업,,서울특별시 성동구 성수동2가 300-69  번지,,,성동동물종합병원,2018-08-31 23:59:59.0,,
138,303000001020030011,3,폐업,0002,폐업,,서울특별시 성동구 성수동2가 336-1   번지,,,퍼스트펫동물병원,2018-08-31 23:59:59.0,,
142,303000001020030015,3,폐업,0002,폐업,,서울특별시 성동구 마장동 791-2   번지,,,한사랑동물병원,2018-08-31 23:59:59.0,,
145,321000001020030009,3,폐업,0002,폐업,,서울특별시 서초구 반포동 733-14  번지,,,두코동물병원,2018-08-31 23:59:59.0,,
148,301000001020050001,3,폐업,0002,폐업,,서울특별시 중구 신당동 422-1   번지 청화빌딩 지하1층,,,행복한둥지동물병원,2018-08-31 23:59:59.0,,
150,306000001020030001,3,폐업,0002,폐업,,서울특별시 중랑구 망우동 490-7   번지,,,세진종합동물병원,2018-08-31 23:59:59.0,,
151,306000001020030003,3,폐업,0002,폐업,,서울특별시 중랑구 신내동 648-143 번지,,,비비펫동물병원,2018-08-31 23:59:59.0,,
154,314000001020010002,3,폐업,0002,폐업,,서울특별시 양천구 목동 905-22  번지 목동트윈빌딩(102호),,,황경택동물병원,2018-08-31 23:59:59.0,,
158,311000001020040002,3,폐업,0002,폐업,,서울특별시 은평구 갈현동 495-22  번지,,,에이스동물병원,2018-08-31 23:59:59.0,,
165,314000001019970001,3,폐업,0002,폐업,,서울특별시 양천구 목동 788-13  번지,,,애완동물병원,2018-08-31 23:59:59.0,,
169,311000001020050003,3,폐업,0002,폐업,,서울특별시 은평구 증산동 162-20  번지 상가 102호,,,멍이맘동물병원,2018-08-31 23:59:59.0,,
175,321000001020030006,3,폐업,0002,폐업,,서울특별시 서초구 잠원동 60-3   번지,,,잠원동물병원,2018-08-31 23:59:59.0,,
180,314000001020110001,3,폐업,0002,폐업,,서울특별시 양천구 목동 919-7   번지 홈플러스 2층,,,닥터펫동물병원,2018-08-31 23:59:59.0,,
182,314000001020040004,3,폐업,0002,폐업,,서울특별시 양천구 목동 919-7   번지 한국까르푸 목동점 1층,,,덕터펫 동물병원,2018-08-31 23:59:59.0,,
191,314000001020030005,3,폐업,0002,폐업,,서울특별시 양천구 목동 919-7   번지 한국까르프 1층,,,닥터펫 동물병원,2018-08-31 23:59:59.0,,
192,314000001020030008,3,폐업,0002,폐업,,서울특별시 양천구 목동 919-7   번지 한국까르프 목동점 1층,,,닥터펫동물병원,2018-08-31 23:59:59.0,,
202,321000001019980002,3,폐업,0002,폐업,,서울특별시 서초구 서초동 1532-7   번지 1층,,,서울동물병원,2018-08-31 23:59:59.0,,
205,321000001020100006,3,폐업,0002,폐업,,서울특별시 서초구 서초동 1605-5   번지,,,넥스펫동물병원,2018-08-31 23:59:59.0,,
207,321000001020040001,3,폐업,0002,폐업,,서울특별시 서초구 반포동 738-2   번지,,,21세기동물병원,2018-08-31 23:59:59.0,,
208,312000001020030006,3,폐업,0002,폐업,,서울특별시 서대문구 홍은동 409-10  번지,,,예일동물병원,2018-08-31 23:59:59.0,,
209,312000001020040001,3,폐업,0002,폐업,,서울특별시 서대문구 남가좌동 268-28  번지,,,모래내동물병원,2018-08-31 23:59:59.0,,
210,312000001020040002,3,폐업,0002,폐업,,서울특별시 서대문구 홍제동 90-67  번지,,,러브펫 동물병원,2018-08-31 23:59:59.0,,
212,312000001020040005,3,폐업,0002,폐업,,서울특별시 서대문구 남가좌동 268-28  번지,,,모래내동물병원,2018-08-31 23:59:59.0,,
220,311000001020080001,3,폐업,0002,폐업,,서울특별시 은평구 신사동 24-59  번지,,,허브종합동물병원,2018-08-31 23:59:59.0,,
221,311000001020080002,3,폐업,0002,폐업,,서울특별시 은평구 대조동 188-1   번지,,,드림펫동물병원,2018-08-31 23:59:59.0,,
238,311000001020090005,3,폐업,0002,폐업,,서울특별시 은평구 응암동 90-1   번지 이마트 8층,,,펫프렌즈동물병원 은평,2018-08-31 23:59:59.0,,
245,321000001020060005,3,폐업,0002,폐업,,서울특별시 서초구 반포동 19-3   번지 BPC 101-4,,,쿨펫동물병원,2018-08-31 23:59:59.0,,
258,321000001020020010,3,폐업,0002,폐업,,서울특별시 서초구 서초동 1487-1   번지 1층,,,동원동물병원,2018-08-31 23:59:59.0,,
263,311000001020070002,3,폐업,0002,폐업,,서울특별시 은평구 신사동 24-59  번지 경보빌딩,,,허브종합동물병원,2018-08-31 23:59:59.0,,
269,321000001020000003,3,폐업,0002,폐업,,서울특별시 서초구 방배동 1031-7   번지 1층,,,노아동물병원,2018-08-31 23:59:59.0,,
270,311000001019970001,3,폐업,0002,폐업,,서울특별시 은평구 신사동 335-7   번지,,,예종합동물,2018-08-31 23:59:59.0,,
271,311000001019990001,3,폐업,0002,폐업,,서울특별시 은평구 응암동 111-15  번지,,,역촌동물병원,2018-08-31 23:59:59.0,,
272,314000001020050001,3,폐업,0002,폐업,,서울특별시 양천구 목동 919-7   번지 한국까르푸 1층,,,닥터펫 동물병원,2018-08-31 23:59:59.0,,
273,314000001020050002,3,폐업,0002,폐업,,서울특별시 양천구 목동 923-15  번지 동문굿모닝탑 상가 106호,,,다솜동물병원,2018-08-31 23:59:59.0,,
276,311000001020070005,3,폐업,0002,폐업,,서울특별시 은평구 녹번동 141-61  번지,,,참조은동물병원,2018-08-31 23:59:59.0,,
280,321000001020000005,3,폐업,0002,폐업,,서울특별시 서초구 양재동 377-4   번지 1층,,,마리오동물병원,2018-08-31 23:59:59.0,,
291,312000001020020003,3,폐업,0002,폐업,,서울특별시 서대문구 홍은동 409-10  번지,,,예일동물병원,2018-08-31 23:59:59.0,,
