번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
60,461000001020150001,3,폐업,0002,폐업,,,충청남도 예산군 덕산면 수암산로 160,32406.0,LG동물병원,2018-08-31 23:59:59.0,,
350,398000001020180001,3,폐업,0002,폐업,,경기도 구리시 갈매동 596번지 갈매역아이파크,"경기도 구리시 경춘북로 252, 841동 C150,C170호 (갈매동, 갈매역아이파크)",11901.0,소망동물의료센터,2019-05-01 02:40:00.0,,
498,452000001020120002,3,폐업,0002,폐업,,충청남도 아산시 배방읍 장재리 1760번지 이마트트레이더스 2층,충청남도 아산시 배방읍 고속철대로 133 (이마트트레이더스 2층),336857.0,웰니스 클리닉,2018-12-06 02:40:00.0,,
808,356000001020190002,3,폐업,0002,폐업,,인천광역시 서구 청라동 158-1 진성프라자,"인천광역시 서구 청라커낼로260번길 11, 진성프라자 110호 (청라동)",22762.0,정말로동물병원,2021-08-27 02:40:00.0,,
1965,365000001019750001,3,폐업,0002,폐업,,대전광역시 중구 문창동 75번지,대전광역시 중구 충무로 75 (문창동),301809.0,제일동물병원,2018-08-31 23:59:59.0,,
2472,404000001020210003,3,폐업,0002,폐업,,"경기도 하남시 풍산동 509-3 1층, 101,102,103호 메디포레","경기도 하남시 미사강변대로54번길 80, 메디포레 1층 101,102,103호 (풍산동)",12919.0,참편한 동물병원,2021-11-28 02:40:00.0,,
2670,386000001020040012,3,폐업,0002,폐업,,,경기도 부천시 부일로 477-1 (심곡동),14617.0,큐피트동물병원,2019-06-05 02:40:00.0,,
2733,408000001020120002,3,폐업,0002,폐업,,경기도 안성시 공도읍 만정리,경기도 안성시 공도읍 공도4로 817-2,456823.0,플러스 동물병원,2018-08-31 23:59:59.0,,
2735,408000001019950001,3,폐업,0002,폐업,,경기도 안성시 서운면 신흥리 산 25번지,경기도 안성시 서운면 사갑1길 237-31,,김갑수동물병원,2018-08-31 23:59:59.0,,
2766,553000001020190004,3,폐업,0002,폐업,,경기도 화성시 새솔동 0,경기도 화성시 수노을2로 147 (새솔동),18242.0,송산 동물메디컬센터,2021-07-08 02:40:00.0,,
2767,553000001020190005,3,폐업,0002,폐업,,경기도 화성시 새솔동 0,"경기도 화성시 수노을2로 147, 106호 (새솔동)",18242.0,송산재활동물병원,2021-07-08 02:40:00.0,,
3268,356000001020210001,3,폐업,0002,폐업,,인천광역시 서구 청라동 96-7 청라레이크봄,"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123, 124호 (청라동)",22758.0,베테랑 동물병원(청라지점),2021-10-22 02:40:00.0,,
4334,553000001020200007,3,폐업,0002,폐업,,경기도 화성시 산척동 724-4,"경기도 화성시 동탄순환대로 245, 성민리치타워(SMP) 2층 (산척동)",18501.0,베테랑동물병원,2021-10-23 02:40:00.0,,
