번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
1,362000001020120004,3,폐업,0002,폐업,,광주광역시 북구 두암동 927-1,광주광역시 북구 삼정로 95 (두암동),61157.0,엔젤동물병원,2021-11-02 02:40:00.0,35.247032799510606,126.84084527878578
2,362000001020130001,3,폐업,0002,폐업,,광주광역시 북구 신용동 691번지,"광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)",61087.0,첨단동물병원,2018-08-31 23:59:59.0,35.18332296163912,126.8849721303424
3,362000001020160001,3,폐업,0002,폐업,,광주광역시 북구 본촌동 378-6번지,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",61027.0,광주광역시동물보호소부속동물병원,2018-08-31 23:59:59.0,35.20137164626689,126.90434101843186
4,362000001019910001,3,폐업,0002,폐업,,광주광역시 북구 양산동 273-7번지,광주광역시 북구 하서로 367 (양산동),,운암동물병원,2019-01-24 02:40:00.0,35.19471313117263,126.88654815600232
5,362000001020170001,3,폐업,0002,폐업,,,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",61027.0,광주동물보호소 부속 동물병원,2018-08-31 23:59:59.0,35.20148399492629,126.90420453911167
6,345000001019810005,3,폐업,0002,폐업,,대구광역시 북구 대현동 229-19번지,대구광역시 북구 대현로 27 (대현동),,북부동물병원,2018-08-31 23:59:59.0,36.60136120137718,127.73836840804708
7,345000001019920001,3,폐업,0002,폐업,,대구광역시 북구 산격동 495-42,대구광역시 북구 동북로 193 (산격동),,복현동물병원,2022-01-07 02:40:00.0,36.6093925513412,127.75406096657714
9,345000001020000002,3,폐업,0002,폐업,,대구광역시 북구 침산동 222-7번지,대구광역시 북구 침산남로 157 (침산동),,플러스동물병원,2018-08-31 23:59:59.0,36.592951154698824,127.74070529878388
11,345000001020030001,3,폐업,0002,폐업,,대구광역시 북구 동변동 686-3번지,대구광역시 북구 동변로 80 (동변동),,수동물병원,2018-08-31 23:59:59.0,36.600791883156184,127.78097377678048
12,345000001019810002,3,폐업,0002,폐업,,대구광역시 북구 태전동 476-1번지,대구광역시 북구 칠곡중앙대로46길 12 (태전동),,대성동물병원,2018-08-31 23:59:59.0,36.55648312398909,127.77595604836196
14,345000001019810004,3,폐업,0002,폐업,,대구광역시 북구 고성동2가 117-6번지,대구광역시 북구 원대로 34 (고성동2가),,서부동물병원,2018-08-31 23:59:59.0,36.58311283804418,127.73082134380186
15,345000001020030002,3,폐업,0002,폐업,,대구광역시 북구 산격동 1291-20번지,대구광역시 북구 대학로 141 (산격동),,다나동물병원,2019-10-19 02:40:00.0,36.609347296150084,127.75181426180849
16,345000001020050001,3,폐업,0002,폐업,,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오동물병원,2018-08-31 23:59:59.0,36.5720794690725,127.80105868432169
17,345000001020060001,3,폐업,0002,폐업,,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오동물병원,2018-08-31 23:59:59.0,36.5720794690725,127.80105868432169
18,345000001020070001,3,폐업,0002,폐업,,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오,2018-08-31 23:59:59.0,36.5720794690725,127.80105868432169
19,541000001019730001,3,폐업,0002,폐업,,경상남도 창녕군 대합면 십이리 438-3번지,경상남도 창녕군 대합면 십이리1길 10,50311.0,대합가축병원,2020-06-18 02:40:00.0,36.498907736866244,127.39725819122948
20,541000001020040002,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 술정리 171-1번지,경상남도 창녕군 창녕읍 화왕산1로 12,,자연동물병원,2018-08-31 23:59:59.0,36.52160653852851,127.30386654276055
21,541000001019790001,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 교리 992-10번지,경상남도 창녕군 창녕읍 우포2로 1215,,박수의과병원,2018-08-31 23:59:59.0,36.51523274501905,127.31177908521589
22,541000001019790002,3,폐업,0002,폐업,,경상남도 창녕군 대지면 구미리 203-3번지,경상남도 창녕군 대지면 구미2길 27,,명성동물병원,2018-08-31 23:59:59.0,36.49678412362012,127.29192422663546
24,541000001019990001,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반,경상남도 창녕군 창녕읍 창녕대로 20-1,50322.0,창생동물병원,2018-08-31 23:59:59.0,36.51663107136193,127.3091385013759
25,541000001019640001,3,폐업,0002,폐업,,경상남도 창녕군 이방면 거남리 397-1번지,경상남도 창녕군 이방면 이방로 976,50300.0,이방가축병원&lt;산업동물출장진료전문병원&gt;,2018-08-31 23:59:59.0,36.42691059948562,127.38309080810838
26,541000001019670001,3,폐업,0002,폐업,,경상남도 창녕군 남지읍 남지리 612-15번지 3통1반,경상남도 창녕군 남지읍 선창길 10-1,50361.0,우리가축병원,2018-08-31 23:59:59.0,36.512055074483186,127.11944898228226
28,542000001020130001,3,폐업,0002,폐업,,경상남도 고성군 고성읍 서외리 1-6번지,경상남도 고성군 고성읍 중앙로15번길 62,52942.0,경남수의 동물병원,2019-10-13 02:40:00.0,36.38689352222538,126.60835478619467
29,542000001020030004,3,폐업,0002,폐업,,경상남도 고성군 고성읍 동외리 287-12번지,경상남도 고성군 고성읍 동외로 163-14,52942.0,고성동물병원,2018-08-31 23:59:59.0,36.38878319651069,126.60686418361172
31,546000001020030004,3,폐업,0002,폐업,,경상남도 함양군 수동면 화산리 1251-2,경상남도 함양군 수동면 수동길 17,,중앙동물병원,2021-04-11 02:40:00.0,35.9416245193377,127.27484629979534
32,546000001020030005,3,폐업,0002,폐업,,경상남도 함양군 안의면 금천리 121-3번지,경상남도 함양군 안의면 종로길 5-1,,고려동물병원,2020-04-02 02:40:00.0,35.96149887507733,127.40571275784207
46,449000001020020002,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 성환리 432-4,충청남도 천안시 서북구 성환읍 성환중앙로 18,31016.0,한샘동물병원,2021-05-08 02:40:00.0,35.386575963865155,128.97162486211047
48,449000001020020004,3,폐업,0002,폐업,,충청남도 천안시 동남구 신부동 85번지 대아@ 상가 102동 105호,"충청남도 천안시 동남구 충절로 42, 102동 105호 (신부동,대아@ 상가)",,대아,2018-08-31 23:59:59.0,35.41118752394489,128.84991118492283
49,449000001020020005,3,폐업,0002,폐업,,충청남도 천안시 동남구 원성동 597-2번지,충청남도 천안시 동남구 원거리9길 4 (원성동),,신대원,2018-08-31 23:59:59.0,35.40901307138341,128.83135579864467
51,449000001020020008,3,폐업,0002,폐업,,충청남도 천안시 동남구 신방동 784-9번지 홈플러스 1층,"충청남도 천안시 동남구 신촌1길 23 (신방동, 홈플러스 1층)",31177.0,쿨펫 천안신방점,2018-08-31 23:59:59.0,35.38198387116311,128.8147692349112
