번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
1,362000001020120004,3,폐업,0002,폐업,,광주광역시 북구 두암동 927-1,광주광역시 북구 삼정로 95 (두암동),61157.0,엔젤동물병원,2021-11-02 02:40:00.0,126.93431477592092,35.170490458123034
2,362000001020130001,3,폐업,0002,폐업,,광주광역시 북구 신용동 691번지,"광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)",61087.0,첨단동물병원,2018-08-31 23:59:59.0,126.85660260160492,35.20655098670676
3,362000001020160001,3,폐업,0002,폐업,,광주광역시 북구 본촌동 378-6번지,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",61027.0,광주광역시동물보호소부속동물병원,2018-08-31 23:59:59.0,126.87854917968906,35.222493442760936
4,362000001019910001,3,폐업,0002,폐업,,광주광역시 북구 양산동 273-7번지,광주광역시 북구 하서로 367 (양산동),,운암동물병원,2019-01-24 02:40:00.0,126.87047636095899,35.20787318280994
5,362000001020170001,3,폐업,0002,폐업,,,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",61027.0,광주동물보호소 부속 동물병원,2018-08-31 23:59:59.0,126.8786863845777,35.22238166238726
6,345000001019810005,3,폐업,0002,폐업,,대구광역시 북구 대현동 229-19번지,대구광역시 북구 대현로 27 (대현동),,북부동물병원,2018-08-31 23:59:59.0,128.6006453758844,35.88580833641802
7,345000001019920001,3,폐업,0002,폐업,,대구광역시 북구 산격동 495-42,대구광역시 북구 동북로 193 (산격동),,복현동물병원,2022-01-07 02:40:00.0,128.610888369835,35.898261114190184
9,345000001020000002,3,폐업,0002,폐업,,대구광역시 북구 침산동 222-7번지,대구광역시 북구 침산남로 157 (침산동),,플러스동물병원,2018-08-31 23:59:59.0,128.59037009149097,35.88789417152572
11,345000001020030001,3,폐업,0002,폐업,,대구광역시 북구 동변동 686-3번지,대구광역시 북구 동변로 80 (동변동),,수동물병원,2018-08-31 23:59:59.0,128.60097256510386,35.9201616031765
12,345000001019810002,3,폐업,0002,폐업,,대구광역시 북구 태전동 476-1번지,대구광역시 북구 칠곡중앙대로46길 12 (태전동),,대성동물병원,2018-08-31 23:59:59.0,128.54640071102835,35.91719000365251
14,345000001019810004,3,폐업,0002,폐업,,대구광역시 북구 고성동2가 117-6번지,대구광역시 북구 원대로 34 (고성동2가),,서부동물병원,2018-08-31 23:59:59.0,128.57805103075202,35.88016137021435
15,345000001020030002,3,폐업,0002,폐업,,대구광역시 북구 산격동 1291-20번지,대구광역시 북구 대학로 141 (산격동),,다나동물병원,2019-10-19 02:40:00.0,128.6107785701509,35.89645159985747
16,345000001020050001,3,폐업,0002,폐업,,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오동물병원,2018-08-31 23:59:59.0,128.56617087736382,35.937055563256
17,345000001020060001,3,폐업,0002,폐업,,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오동물병원,2018-08-31 23:59:59.0,128.56617087736382,35.937055563256
18,345000001020070001,3,폐업,0002,폐업,,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오,2018-08-31 23:59:59.0,128.56617087736382,35.937055563256
19,541000001019730001,3,폐업,0002,폐업,,경상남도 창녕군 대합면 십이리 438-3번지,경상남도 창녕군 대합면 십이리1길 10,50311.0,대합가축병원,2020-06-18 02:40:00.0,128.46771815335373,35.61288411774287
20,541000001020040002,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 술정리 171-1번지,경상남도 창녕군 창녕읍 화왕산1로 12,,자연동물병원,2018-08-31 23:59:59.0,128.49376965360082,35.53708634401397
21,541000001019790001,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 교리 992-10번지,경상남도 창녕군 창녕읍 우포2로 1215,,박수의과병원,2018-08-31 23:59:59.0,128.48611644246594,35.54358856287427
22,541000001019790002,3,폐업,0002,폐업,,경상남도 창녕군 대지면 구미리 203-3번지,경상남도 창녕군 대지면 구미2길 27,,명성동물병원,2018-08-31 23:59:59.0,128.46319557839718,35.527897567438956
24,541000001019990001,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반,경상남도 창녕군 창녕읍 창녕대로 20-1,50322.0,창생동물병원,2018-08-31 23:59:59.0,128.4877791207632,35.541431933495026
25,541000001019640001,3,폐업,0002,폐업,,경상남도 창녕군 이방면 거남리 397-1번지,경상남도 창녕군 이방면 이방로 976,50300.0,이방가축병원&lt;산업동물출장진료전문병원&gt;,2018-08-31 23:59:59.0,128.37931525492044,35.60277782613638
26,541000001019670001,3,폐업,0002,폐업,,경상남도 창녕군 남지읍 남지리 612-15번지 3통1반,경상남도 창녕군 남지읍 선창길 10-1,50361.0,우리가축병원,2018-08-31 23:59:59.0,128.47895354947153,35.38842167191339
28,542000001020130001,3,폐업,0002,폐업,,경상남도 고성군 고성읍 서외리 1-6번지,경상남도 고성군 고성읍 중앙로15번길 62,52942.0,경남수의 동물병원,2019-10-13 02:40:00.0,128.3201279361281,34.97713057306594
29,542000001020030004,3,폐업,0002,폐업,,경상남도 고성군 고성읍 동외리 287-12번지,경상남도 고성군 고성읍 동외로 163-14,52942.0,고성동물병원,2018-08-31 23:59:59.0,128.32241036971362,34.975907971240716
31,546000001020030004,3,폐업,0002,폐업,,경상남도 함양군 수동면 화산리 1251-2,경상남도 함양군 수동면 수동길 17,,중앙동물병원,2021-04-11 02:40:00.0,127.78392823573861,35.522025139314586
